bodyPart,equipment,gifUrl,id,name,target,instructions
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/2333.gif,2333,arm slingers hanging straight legs,abs,"<ol>
  <li>Find a sturdy bar or branch to hang from.</li>
  <li>Jump up and grab the bar with both hands, shoulder-width apart.</li>
  <li>Engage your core and slowly lift your legs up until they are parallel to the ground.</li>
  <li>Hold this position for a few seconds, making sure to keep your legs straight and your toes pointed.</li>
  <li>Slowly lower your legs back down to the starting position.</li>
  <li>Repeat for a set of 10-15 reps.</li>
  <li>As you progress, you can increase the number of reps or add ankle weights for an extra challenge.</li>
</ol>"
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/3214.gif,3214,arms apart circular toe touch (male),glutes,"<ol>
  <li>Stand with your feet shoulder-width apart and your arms extended out to the sides, parallel to the ground.</li>
  <li>Take a deep breath and engage your core muscles.</li>
  <li>Slowly bend forward at the waist, keeping your legs straight but not locked.</li>
  <li>As you bend forward, bring your arms down and around in a circular motion, reaching towards your toes.</li>
  <li>Try to touch your toes with your fingertips, but don't force it if you can't reach that far.</li>
  <li>Hold the stretch for a few seconds, feeling the stretch in your hamstrings and lower back.</li>
  <li>Slowly raise your arms back up to the starting position as you come back up to standing.</li>
  <li>Repeat for several reps, focusing on keeping your core engaged and your movements slow and controlled.</li>
</ol>"
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3204.gif,3204,arms overhead full sit-up (male),abs,"<ol>
  <li>Start by lying down on your back with your arms extended overhead, palms facing up, and your legs straight out in front of you.</li>
  <li>Engage your core muscles by pulling your belly button towards your spine.</li>
  <li>Sit up by bringing your arms forward and reaching towards your toes. Keep your legs straight and your feet on the ground.</li>
  <li>As you sit up, exhale and contract your abs. Keep your chin tucked towards your chest and your shoulders relaxed.</li>
  <li>Slowly lower yourself back down to the starting position, inhaling as you go. Keep your arms extended overhead and your feet on the ground.</li>
  <li>Repeat for the desired number of repetitions.</li>
  <li>For added difficulty, hold a weight or medicine ball in your hands as you perform the exercise.</li>
  <li>Make sure to stretch your abs and back after completing the exercise.</li>
</ol>"
chest,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0009.gif,9,assisted chest dip (kneeling),pectorals,"<ol>
  <li>Find a sturdy dip bar or parallel bars that can support your weight.</li>
  <li>Kneel down in front of the bars and place your hands on the bars shoulder-width apart.</li>
  <li>Lower your body down by bending your elbows until your chest is level with the bars.</li>
  <li>Push yourself back up by straightening your arms, keeping your core engaged.</li>
  <li>Repeat for your desired number of reps.</li>
  <li>Remember to keep your elbows close to your body and avoid flaring them out.</li>
  <li>If you need assistance, have a partner hold your legs or use a resistance band to help lift you up.</li>
  <li>As you progress, you can increase the difficulty by using a weighted vest or holding a dumbbell between your feet.</li>
  <li>Always listen to your body and stop if you feel any pain or discomfort.</li>
  <li>Stretch your chest and triceps after the exercise to prevent soreness.</li>
</ol>"
waist,assisted,http://d205bpvrqc9yn1.cloudfront.net/0011.gif,11,assisted hanging knee raise,abs,"<ol>
  <li>Find a pull-up bar or other stable overhead structure to hang from.</li>
  <li>Step up onto a bench or other platform so that you can easily reach the bar.</li>
  <li>Grasp the bar with an overhand grip, hands slightly wider than shoulder-width apart.</li>
  <li>Hang from the bar with your arms fully extended, feet off the ground.</li>
  <li>Engage your core muscles and lift your knees up towards your chest, keeping your feet together.</li>
  <li>Hold the top position for a moment, then slowly lower your legs back down to the starting position.</li>
  <li>Repeat for the desired number of reps.</li>
  <li>If you're having trouble with the exercise, try bending your knees slightly or using a spotter to assist you with the movement.</li>
  <li>As you get stronger, you can increase the difficulty by straightening your legs or adding ankle weights.</li>
</ol>"
waist,assisted,http://d205bpvrqc9yn1.cloudfront.net/0010.gif,10,assisted hanging knee raise with throw down,abs,"<ol>
  <li>Find a pull-up bar or any stable overhead structure that you can hang from.</li>
  <li>Hang from the bar with your arms fully extended and your feet off the ground.</li>
  <li>Engage your core muscles and bring your knees up towards your chest.</li>
  <li>At the top of the movement, throw your legs down towards the ground.</li>
  <li>As your legs come down, resist the urge to let go of the bar and instead use your core muscles to control the movement.</li>
  <li>Repeat the exercise for the desired number of repetitions.</li>
</ol>"
lower legs,assisted,http://d205bpvrqc9yn1.cloudfront.net/1708.gif,1708,assisted lying calves stretch,calves,"<ol>
<li>Lie down on your back with your legs extended straight out in front of you.</li>
<li>Place a towel or resistance band around the ball of your right foot, holding onto the ends with both hands.</li>
<li>Slowly pull your foot towards your head, keeping your leg straight, until you feel a stretch in your calf muscle.</li>
<li>Hold the stretch for 15-30 seconds, then release and switch sides.</li>
<li>Repeat the stretch on both sides for 2-3 sets.</li>
</ol>"
upper legs,assisted,http://d205bpvrqc9yn1.cloudfront.net/1709.gif,1709,assisted lying glutes stretch,glutes,"<ol>
<li>Begin by lying on your back with your knees bent and feet flat on the ground.</li>
<li>Place a resistance band or towel around the ball of your right foot and hold the ends of the band/towel with both hands.</li>
<li>Slowly straighten your right leg, pulling the band/towel towards you until you feel a stretch in your glutes and hamstring.</li>
<li>Hold the stretch for 20-30 seconds, then release and repeat on the other leg.</li>
<li>For a deeper stretch, you can gently pull the band/towel towards you while keeping your leg straight.</li>
<li>Repeat the stretch 2-3 times on each leg.</li>
</ol>"
upper legs,assisted,http://d205bpvrqc9yn1.cloudfront.net/1710.gif,1710,assisted lying gluteus and piriformis stretch,glutes,"<ol>
  <li>Begin by lying on your back with your knees bent and feet flat on the ground.</li>
  <li>Place your right ankle on your left knee, just above the knee joint.</li>
  <li>Use your hands to gently pull your left thigh towards your chest, feeling a stretch in your right gluteus and piriformis muscles.</li>
  <li>Hold the stretch for 15-30 seconds, breathing deeply and relaxing your muscles.</li>
  <li>Release the stretch and switch sides, placing your left ankle on your right knee and pulling your right thigh towards your chest.</li>
  <li>Repeat the stretch on each side 2-3 times, gradually increasing the duration of the stretch as your muscles loosen up.</li>
  <li>Be sure to listen to your body and avoid any pain or discomfort during the stretch.</li>
  <li>You can also modify the stretch by using a yoga strap or towel to assist with the stretch if needed.</li>
  <li>Remember to breathe deeply and relax your muscles throughout the stretch to maximize the benefits.</li>
</ol>"
waist,assisted,http://d205bpvrqc9yn1.cloudfront.net/0012.gif,12,assisted lying leg raise with lateral throw down,abs,"<ol>
  <li>Start by lying down on your back on a yoga mat or a comfortable surface.</li>
  <li>Bend your knees and place your feet flat on the ground.</li>
  <li>Place your arms by your sides with your palms facing down.</li>
  <li>Engage your core muscles by pulling your belly button towards your spine.</li>
  <li>Slowly lift your legs off the ground, keeping them straight and together.</li>
  <li>As you lift your legs, simultaneously lift your arms off the ground and extend them straight above your head.</li>
  <li>Pause briefly at the top of the movement, then slowly lower your legs and arms back down to the starting position.</li>
  <li>Repeat this movement for several reps.</li>
  <li>To add the lateral throw down, as you lower your legs and arms back down to the starting position, lower them to one side of your body.</li>
  <li>Pause briefly, then lift them back up to the center and repeat on the other side.</li>
  <li>Continue alternating sides for several reps.</li>
  <li>Remember to keep your core engaged throughout the exercise and to breathe deeply and steadily.</li>
</ol>"
waist,assisted,http://d205bpvrqc9yn1.cloudfront.net/0013.gif,13,assisted lying leg raise with throw down,abs,"<ol>
<li>Lie flat on your back on a yoga mat or any comfortable surface.</li>
<li>Bend your knees and place your feet flat on the ground.</li>
<li>Place a small medicine ball or any lightweight object between your feet.</li>
<li>Engage your core muscles and lift your legs up towards the ceiling, keeping them straight and together.</li>
<li>Hold the medicine ball or object between your feet throughout the exercise.</li>
<li>Slowly lower your legs back down to the starting position, but do not let them touch the ground.</li>
<li>As you lift your legs back up, throw the medicine ball or object towards your hands, catching it with your hands above your chest.</li>
<li>Lower your arms and legs back down to the starting position.</li>
<li>Repeat the exercise for 10-12 repetitions, or as many as you can comfortably perform.</li>
<li>Rest for 30-60 seconds and repeat for 2-3 sets.</li>
</ol>"
waist,medicine ball,http://d205bpvrqc9yn1.cloudfront.net/0014.gif,14,assisted motion russian twist,abs,"<ol>
<li>Start by sitting on the floor with your knees bent and your feet flat on the ground. Lean back slightly so that your torso is at a 45-degree angle to the ground.</li>
<li>Hold a medicine ball or dumbbell with both hands directly in front of your chest. Keep your elbows bent and close to your body.</li>
<li>Engage your core muscles and lift your feet off the ground, balancing on your sit bones. Your shins should be parallel to the ground.</li>
<li>Slowly twist your torso to the right, keeping your arms straight and the medicine ball or dumbbell in front of your chest. Pause briefly at the end of the movement.</li>
<li>Return to the starting position and repeat the movement to the left. This completes one repetition.</li>
<li>Perform 10-12 repetitions of the exercise, then rest for 30-60 seconds before repeating for 2-3 sets total.</li>
</ol>"
back,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0015.gif,15,assisted parallel close grip pull-up,lats,"<ol>
<li>Find a sturdy horizontal bar that can support your weight.</li>
<li>Stand directly under the bar and reach up to grab it with both hands.</li>
<li>Place your palms facing each other and your hands shoulder-width apart.</li>
<li>Engage your shoulder blades and pull yourself up towards the bar.</li>
<li>As you pull up, keep your elbows close to your body.</li>
<li>Continue pulling until your chin is above the bar.</li>
<li>Hold this position for a few seconds.</li>
<li>Slowly lower yourself back down to the starting position.</li>
<li>Repeat for desired number of reps.</li>
</ol>"
upper legs,assisted,http://d205bpvrqc9yn1.cloudfront.net/0016.gif,16,assisted prone hamstring,hamstrings,"<ol>
  <li>Begin by lying on your stomach on a mat or padded surface with your legs straight out behind you.</li>
  <li>Have a partner or trainer stand at your feet and hold onto your ankles.</li>
  <li>Engage your core and lift your chest slightly off the ground to protect your lower back.</li>
  <li>Bend your knees and bring your heels towards your buttocks, while keeping your thighs on the ground.</li>
  <li>Hold this position for a few seconds, feeling the stretch in your hamstrings.</li>
  <li>Slowly lower your legs back down to the starting position, keeping them straight and your thighs on the ground.</li>
  <li>Repeat for several repetitions, focusing on controlled movements and feeling the stretch in your hamstrings.</li>
  <li>Switch roles with your partner or trainer so that both of you have a chance to perform the exercise.</li>
</ol>"
upper legs,assisted,http://d205bpvrqc9yn1.cloudfront.net/1713.gif,1713,assisted prone lying quads stretch,quads,"<ol>
  <li>Begin by lying face down on a comfortable surface, such as a yoga mat or exercise mat.</li>
  <li>Place a rolled-up towel or small pillow under your hips to help support your lower back.</li>
  <li>Bend your left knee and bring your heel towards your buttocks, grasping your ankle with your left hand.</li>
  <li>Slowly pull your heel towards your buttocks until you feel a stretch in your left thigh.</li>
  <li>Hold the stretch for 15-30 seconds, breathing deeply and relaxing your muscles.</li>
  <li>Release the stretch and repeat on the other side, bending your right knee and grasping your ankle with your right hand.</li>
  <li>Repeat the stretch on each side 2-3 times, gradually increasing the duration of the stretch as your muscles become more flexible.</li>
  <li>Remember to breathe deeply and relax your muscles during the stretch, avoiding any sudden or jerky movements.</li>
  <li>If you experience any pain or discomfort during the stretch, stop immediately and consult with a healthcare professional.</li>
</ol>"
waist,assisted,http://d205bpvrqc9yn1.cloudfront.net/1714.gif,1714,assisted prone rectus femoris stretch,abs,"<ol>
  <li>Start by lying on your stomach on a comfortable surface.</li>
  <li>Bend one knee and bring your heel towards your buttocks.</li>
  <li>Grasp your ankle with one hand and hold onto a stable object with the other hand for support.</li>
  <li>Gently pull your heel towards your buttocks until you feel a stretch in the front of your thigh.</li>
  <li>Hold the stretch for 15-30 seconds, making sure to breathe deeply and relax your muscles.</li>
  <li>Release the stretch and repeat on the other leg.</li>
  <li>Perform 2-3 sets of the stretch on each leg, taking breaks as needed.</li>
</ol>"
back,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0017.gif,17,assisted pull-up,lats,"<ol>
  <li>Find an assisted pull-up machine or use a resistance band to assist with the exercise.</li>
  <li>Stand on the platform or place the resistance band around your foot and attach the other end to the pull-up bar.</li>
  <li>Grab onto the pull-up bar with an overhand grip, hands shoulder-width apart.</li>
  <li>Engage your core and pull your shoulder blades down and back.</li>
  <li>Bend your elbows and pull yourself up towards the bar, keeping your chest lifted.</li>
  <li>Pause at the top of the movement and then slowly lower yourself back down to the starting position.</li>
  <li>Repeat for desired number of reps.</li>
  <li>Gradually decrease the assistance from the machine or resistance band as you become stronger.</li>
</ol>"
chest,assisted,http://d205bpvrqc9yn1.cloudfront.net/1716.gif,1716,assisted seated pectoralis major stretch with stability ball,pectorals,"<ol>
  <li>Begin by sitting on a stability ball with your feet flat on the ground and your knees bent at a 90-degree angle.</li>
  <li>Hold a light dumbbell in each hand and bring your arms up to shoulder height, with your elbows bent at a 90-degree angle.</li>
  <li>Slowly lean forward, allowing your arms to extend out in front of you while keeping your back straight and your core engaged.</li>
  <li>Stop when you feel a stretch in your chest muscles, but be sure not to overextend or strain yourself.</li>
  <li>Hold the stretch for 10-15 seconds, then slowly return to the starting position.</li>
  <li>Repeat the stretch for 2-3 sets of 10-12 repetitions, or as directed by your fitness instructor or physical therapist.</li>
  <li>Remember to breathe deeply and exhale as you lean forward into the stretch.</li>
  <li>As you become more comfortable with the exercise, you can increase the weight of the dumbbells or hold the stretch for a longer period of time.</li>
  <li>Be sure to consult with a healthcare professional before beginning any new exercise program, especially if you have a history of back or shoulder injuries.</li>
</ol>"
upper legs,assisted,http://d205bpvrqc9yn1.cloudfront.net/1712.gif,1712,assisted side lying adductor stretch,adductors,"<ol>
<li>Lie down on your side on a comfortable surface, with your legs straight and stacked on top of each other.</li>
<li>Bend your bottom knee slightly for stability.</li>
<li>Slowly bring your top leg up and over your bottom leg, placing your foot on the ground in front of your bottom leg.</li>
<li>Use your hand to gently press your top knee down towards the ground, feeling a stretch in your inner thigh.</li>
<li>Hold the stretch for 15-30 seconds, breathing deeply and relaxing your muscles.</li>
<li>Release the stretch and repeat on the other side.</li>
</ol>"
waist,assisted,http://d205bpvrqc9yn1.cloudfront.net/1758.gif,1758,assisted sit-up,abs,"<ol>
  <li>Begin by lying on your back with your knees bent and your feet flat on the ground.</li>
  <li>Have a partner or trainer stand behind you and hold your feet down securely.</li>
  <li>Place your hands behind your head or across your chest.</li>
  <li>Engage your core and lift your upper body off the ground towards your knees.</li>
  <li>Exhale as you lift up and inhale as you lower back down.</li>
  <li>Lower your upper body back down to the starting position with control.</li>
  <li>Repeat for the desired number of repetitions.</li>
  <li>Remember to keep your neck in a neutral position and avoid pulling on your head or neck with your hands.</li>
  <li>Focus on using your abdominal muscles to lift your upper body rather than relying on momentum or pulling with your arms.</li>
  <li>Stretch your abs and lower back after the exercise to prevent any soreness or stiffness.</li>
</ol>"
back,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/1431.gif,1431,assisted standing chin-up,lats,"<ol>
  <li>Find a sturdy horizontal bar that can support your weight.</li>
  <li>Stand underneath the bar and grasp it with an underhand grip, palms facing towards you.</li>
  <li>Place your feet shoulder-width apart and slightly bend your knees.</li>
  <li>Engage your core and shoulder muscles by pulling your shoulder blades down and back.</li>
  <li>Slowly lift yourself up towards the bar by bending your elbows and pulling your chin towards the bar.</li>
  <li>Pause at the top of the movement and hold for a few seconds.</li>
  <li>Slowly lower yourself back down to the starting position, keeping your core and shoulder muscles engaged.</li>
  <li>Repeat for desired number of reps.</li>
</ol>"
back,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/1432.gif,1432,assisted standing pull-up,lats,"<ol>
<li>Find a sturdy bar or ledge that is high enough for you to hang from with your arms fully extended.</li>
<li>Stand facing the bar/ledge and place your hands on it, shoulder-width apart.</li>
<li>Step back a few feet from the bar/ledge and lean forward slightly, keeping your arms straight.</li>
<li>Bend your knees and lift your feet off the ground, balancing on the balls of your feet.</li>
<li>Slowly pull yourself towards the bar/ledge, using your arms to lift your body up.</li>
<li>Pause at the top of the movement, with your chin above the bar/ledge.</li>
<li>Lower yourself back down to the starting position, keeping your arms straight and your feet off the ground.</li>
<li>Repeat for the desired number of repetitions.</li>
</ol>"
upper arms,assisted,http://d205bpvrqc9yn1.cloudfront.net/0018.gif,18,assisted standing triceps extension (with towel),triceps,"<ol>
  <li>Stand with your feet shoulder-width apart and your knees slightly bent.</li>
  <li>Hold a towel with both hands and raise it above your head, keeping your elbows close to your ears.</li>
  <li>Slowly lower the towel behind your head, bending your elbows and keeping them close to your ears.</li>
  <li>Stop when your elbows are at a 90-degree angle.</li>
  <li>Slowly raise the towel back up to the starting position, straightening your arms and keeping your elbows close to your ears.</li>
  <li>Repeat for 10-15 reps.</li>
</ol>"
upper arms,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0019.gif,19,assisted triceps dip (kneeling),triceps,"<ol>
  <li>Find a sturdy chair or bench and place it behind you.</li>
  <li>Kneel down in front of the chair or bench and place your hands on the edge, shoulder-width apart.</li>
  <li>Slide your feet forward so that your knees are directly under your hips and your arms are straight.</li>
  <li>Slowly lower your body by bending your elbows, keeping your back straight and close to the chair or bench.</li>
  <li>Stop when your upper arms are parallel to the ground, making sure not to let your shoulders shrug up towards your ears.</li>
  <li>Push yourself back up to the starting position by straightening your arms, but don't lock your elbows.</li>
  <li>Repeat for the desired number of reps.</li>
  <li>Make sure to keep your core engaged and your neck relaxed throughout the exercise.</li>
  <li>If you experience any pain or discomfort, stop immediately and consult a doctor or fitness professional.</li>
</ol>"
chest,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/2364.gif,2364,assisted wide-grip chest dip (kneeling),pectorals,"<ol>
  <li>Find a dip station or parallel bars that are about shoulder-width apart.</li>
  <li>Place your hands on the bars, palms facing forward, and step back so your arms are straight and your feet are on the ground.</li>
  <li>Kneel down on a mat or pad, keeping your back straight and your knees close together.</li>
  <li>Bend your arms and lower your body down until your elbows are at a 90-degree angle.</li>
  <li>Push yourself back up to the starting position, using your chest and triceps to lift your body.</li>
  <li>Repeat for 8-12 reps, or as many as you can do with proper form.</li>
  <li>Rest for 30-60 seconds, then repeat for 2-3 sets.</li>
  <li>As you get stronger, you can try lifting one leg off the ground or adding weight to your dip belt.</li>
</ol>"
cardio,body weight,http://d205bpvrqc9yn1.cloudfront.net/3220.gif,3220,astride jumps (male),cardiovascular system,"<ol>
<li>Start by standing with your feet shoulder-width apart.</li>
<li>Bend your knees slightly and jump forward, landing with one foot in front of the other.</li>
<li>Jump again, switching the position of your feet so that the other foot is now in front.</li>
<li>Continue jumping forward, alternating the position of your feet with each jump.</li>
<li>Make sure to land softly and with control to avoid injury.</li>
<li>Repeat for several sets, taking breaks as needed.</li>
</ol>"
cardio,body weight,http://d205bpvrqc9yn1.cloudfront.net/3672.gif,3672,back and forth step,cardiovascular system,"<ol>
  <li>Stand with your feet shoulder-width apart and your arms at your sides.</li>
  <li>Take a step forward with your right foot, bending your knee and keeping your left foot in place.</li>
  <li>Push off your right foot and bring it back to the starting position.</li>
  <li>Take a step forward with your left foot, bending your knee and keeping your right foot in place.</li>
  <li>Push off your left foot and bring it back to the starting position.</li>
  <li>Continue alternating steps forward and backward for the desired number of repetitions or time.</li>
</ol>"
back,stability ball,http://d205bpvrqc9yn1.cloudfront.net/1314.gif,1314,back extension on exercise ball,spine,"<ol>
<li>Begin by lying face down on an exercise ball, with your hands placed behind your head and your feet firmly planted on the ground.</li>
<li>Engage your core and slowly lift your upper body off the ball, keeping your neck in a neutral position.</li>
<li>Hold the position for a few seconds, then slowly lower yourself back down to the starting position.</li>
<li>Repeat for 10-15 repetitions, or as many as you can comfortably perform.</li>
<li>For an added challenge, you can hold a weight plate or dumbbell against your chest while performing the exercise.</li>
<li>Be sure to breathe deeply throughout the exercise and maintain proper form to avoid injury.</li>
</ol>"
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/3297.gif,3297,back lever,upper back,"<ol>
  <li>Start by hanging from a pull-up bar with your palms facing away from you and your hands shoulder-width apart.</li>
  <li>Engage your shoulder blades and pull them down and back.</li>
  <li>Bend your knees and tuck them up towards your chest.</li>
  <li>Slowly begin to lower your legs and straighten them out behind you, keeping your body in a straight line.</li>
  <li>Continue to lower your body until it is parallel to the ground.</li>
  <li>Hold the position for a few seconds, then slowly raise your legs back up towards your chest and return to the starting position.</li>
  <li>Repeat for the desired number of reps.</li>
</ol>"
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/1405.gif,1405,back pec stretch,lats,"<ol>
  <li>Stand with your feet shoulder-width apart and your arms at your sides.</li>
  <li>Interlock your fingers behind your back.</li>
  <li>Slowly raise your arms up and away from your body, keeping them straight.</li>
  <li>Feel the stretch in your back and shoulders.</li>
  <li>Hold the stretch for 10-15 seconds.</li>
  <li>Release your hands and bring your arms back down to your sides.</li>
  <li>Repeat the stretch 2-3 times.</li>
</ol>"
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1473.gif,1473,backward jump,quads,"<ol>
<li>Stand with your feet shoulder-width apart.</li>
<li>Bend your knees and jump backwards as far as you can.</li>
<li>Land on the balls of your feet and immediately jump backwards again.</li>
<li>Repeat for the desired number of repetitions.</li>
<li>Make sure to keep your core engaged and your knees slightly bent throughout the exercise.</li>
<li>As you become more comfortable with the movement, try to jump farther and faster.</li>
<li>Remember to always land softly to avoid injury.</li>
<li>Finish the exercise by standing up straight and taking a few deep breaths.</li>
</ol>"
